Year,Service Area,obs,measure
1998,public-order-safety,104.0,quality-adjusted-productivity-index-1997-base
1999,public-order-safety,90.5,quality-adjusted-productivity-index-1997-base
2000,public-order-safety,83.6,quality-adjusted-productivity-index-1997-base
2001,public-order-safety,86.3,quality-adjusted-productivity-index-1997-base
2002,public-order-safety,80.6,quality-adjusted-productivity-index-1997-base
2003,public-order-safety,80.9,quality-adjusted-productivity-index-1997-base
2004,public-order-safety,76.3,quality-adjusted-productivity-index-1997-base
2005,public-order-safety,78.7,quality-adjusted-productivity-index-1997-base
2006,public-order-safety,81.5,quality-adjusted-productivity-index-1997-base
2007,public-order-safety,78.8,quality-adjusted-productivity-index-1997-base
2008,public-order-safety,76.7,quality-adjusted-productivity-index-1997-base
2009,public-order-safety,79.6,quality-adjusted-productivity-index-1997-base
2010,public-order-safety,74.4,quality-adjusted-productivity-index-1997-base
2011,public-order-safety,75.3,quality-adjusted-productivity-index-1997-base
2012,public-order-safety,75.1,quality-adjusted-productivity-index-1997-base
2013,public-order-safety,73.7,quality-adjusted-productivity-index-1997-base
2014,public-order-safety,75.9,quality-adjusted-productivity-index-1997-base
2015,public-order-safety,76.8,quality-adjusted-productivity-index-1997-base
2016,public-order-safety,75.8,quality-adjusted-productivity-index-1997-base
2017,public-order-safety,70.8,quality-adjusted-productivity-index-1997-base
2018,public-order-safety,69.6,quality-adjusted-productivity-index-1997-base
2019,public-order-safety,72.5,quality-adjusted-productivity-index-1997-base
2020,public-order-safety,62.9,quality-adjusted-productivity-index-1997-base
1997,police,100.0,quality-adjusted-productivity-index-1997-base
1998,police,100.0,quality-adjusted-productivity-index-1997-base
1999,police,100.0,quality-adjusted-productivity-index-1997-base
2000,police,100.0,quality-adjusted-productivity-index-1997-base
2001,police,100.0,quality-adjusted-productivity-index-1997-base
2002,police,100.0,quality-adjusted-productivity-index-1997-base
2003,police,100.0,quality-adjusted-productivity-index-1997-base
2004,police,100.0,quality-adjusted-productivity-index-1997-base
2005,police,100.0,quality-adjusted-productivity-index-1997-base
2006,police,100.0,quality-adjusted-productivity-index-1997-base
2007,police,100.0,quality-adjusted-productivity-index-1997-base
2008,police,100.0,quality-adjusted-productivity-index-1997-base
2009,police,100.0,quality-adjusted-productivity-index-1997-base
2010,police,100.0,quality-adjusted-productivity-index-1997-base
2011,police,100.0,quality-adjusted-productivity-index-1997-base
2012,police,100.0,quality-adjusted-productivity-index-1997-base
2013,police,100.0,quality-adjusted-productivity-index-1997-base
2014,police,100.0,quality-adjusted-productivity-index-1997-base
2015,police,100.0,quality-adjusted-productivity-index-1997-base
2016,police,100.0,quality-adjusted-productivity-index-1997-base
2017,police,100.0,quality-adjusted-productivity-index-1997-base
2018,police,100.0,quality-adjusted-productivity-index-1997-base
2019,police,100.0,quality-adjusted-productivity-index-1997-base
2020,police,100.0,quality-adjusted-productivity-index-1997-base
1997,defence,100.0,quality-adjusted-productivity-index-1997-base
1998,defence,100.0,quality-adjusted-productivity-index-1997-base
1999,defence,100.0,quality-adjusted-productivity-index-1997-base
2000,defence,100.0,quality-adjusted-productivity-index-1997-base
2001,defence,100.0,quality-adjusted-productivity-index-1997-base
2002,defence,100.0,quality-adjusted-productivity-index-1997-base
2003,defence,100.0,quality-adjusted-productivity-index-1997-base
2004,defence,100.0,quality-adjusted-productivity-index-1997-base
2005,defence,100.0,quality-adjusted-productivity-index-1997-base
2006,defence,100.0,quality-adjusted-productivity-index-1997-base
2007,defence,100.0,quality-adjusted-productivity-index-1997-base
2008,defence,100.0,quality-adjusted-productivity-index-1997-base
2009,defence,100.0,quality-adjusted-productivity-index-1997-base
2010,defence,100.0,quality-adjusted-productivity-index-1997-base
2011,defence,100.0,quality-adjusted-productivity-index-1997-base
2012,defence,100.0,quality-adjusted-productivity-index-1997-base
2013,defence,100.0,quality-adjusted-productivity-index-1997-base
2014,defence,100.0,quality-adjusted-productivity-index-1997-base
2015,defence,100.0,quality-adjusted-productivity-index-1997-base
2016,defence,100.0,quality-adjusted-productivity-index-1997-base
2017,defence,100.0,quality-adjusted-productivity-index-1997-base
2018,defence,100.0,quality-adjusted-productivity-index-1997-base
2019,defence,100.0,quality-adjusted-productivity-index-1997-base
2020,defence,100.0,quality-adjusted-productivity-index-1997-base
1997,other,100.0,quality-adjusted-productivity-index-1997-base
1998,other,100.0,quality-adjusted-productivity-index-1997-base
1999,other,100.0,quality-adjusted-productivity-index-1997-base
2000,other,100.0,quality-adjusted-productivity-index-1997-base
2001,other,100.0,quality-adjusted-productivity-index-1997-base
2002,other,100.0,quality-adjusted-productivity-index-1997-base
2003,other,100.0,quality-adjusted-productivity-index-1997-base
2004,other,100.0,quality-adjusted-productivity-index-1997-base
2005,other,100.0,quality-adjusted-productivity-index-1997-base
2006,other,100.0,quality-adjusted-productivity-index-1997-base
2007,other,100.0,quality-adjusted-productivity-index-1997-base
2008,other,100.0,quality-adjusted-productivity-index-1997-base
2009,other,100.0,quality-adjusted-productivity-index-1997-base
2010,other,100.0,quality-adjusted-productivity-index-1997-base
2011,other,100.0,quality-adjusted-productivity-index-1997-base
2012,other,100.0,quality-adjusted-productivity-index-1997-base
2013,other,100.0,quality-adjusted-productivity-index-1997-base
2014,other,100.0,quality-adjusted-productivity-index-1997-base
2015,other,100.0,quality-adjusted-productivity-index-1997-base
2016,other,100.0,quality-adjusted-productivity-index-1997-base
2017,other,100.0,quality-adjusted-productivity-index-1997-base
2018,other,100.0,quality-adjusted-productivity-index-1997-base
2019,other,100.0,quality-adjusted-productivity-index-1997-base
2020,other,100.0,quality-adjusted-productivity-index-1997-base
1997,total,100.0,quality-adjusted-productivity-index-1997-base
1998,total,100.9,quality-adjusted-productivity-index-1997-base
1999,total,100.5,quality-adjusted-productivity-index-1997-base
2000,total,99.7,quality-adjusted-productivity-index-1997-base
2001,total,100.7,quality-adjusted-productivity-index-1997-base
2002,total,99.0,quality-adjusted-productivity-index-1997-base
2003,total,98.8,quality-adjusted-productivity-index-1997-base
2004,total,99.3,quality-adjusted-productivity-index-1997-base
2005,total,99.0,quality-adjusted-productivity-index-1997-base
2006,total,99.9,quality-adjusted-productivity-index-1997-base
2007,total,99.8,quality-adjusted-productivity-index-1997-base
2008,total,99.1,quality-adjusted-productivity-index-1997-base
2009,total,98.1,quality-adjusted-productivity-index-1997-base
2010,total,97.8,quality-adjusted-productivity-index-1997-base
2011,total,99.2,quality-adjusted-productivity-index-1997-base
2012,total,100.0,quality-adjusted-productivity-index-1997-base
2013,total,101.1,quality-adjusted-productivity-index-1997-base
2014,total,101.3,quality-adjusted-productivity-index-1997-base
2015,total,101.3,quality-adjusted-productivity-index-1997-base
2016,total,102.5,quality-adjusted-productivity-index-1997-base
2017,total,103.3,quality-adjusted-productivity-index-1997-base
2018,total,103.1,quality-adjusted-productivity-index-1997-base
2019,total,104.6,quality-adjusted-productivity-index-1997-base
2020,total,88.7,quality-adjusted-productivity-index-1997-base
1997,total-quality-adjustment-index,100.0,quality-adjusted-productivity-index-1997-base
1998,total-quality-adjustment-index,100.4,quality-adjusted-productivity-index-1997-base
1999,total-quality-adjustment-index,100.6,quality-adjusted-productivity-index-1997-base
2000,total-quality-adjustment-index,100.9,quality-adjusted-productivity-index-1997-base
2001,total-quality-adjustment-index,100.8,quality-adjusted-productivity-index-1997-base
2002,total-quality-adjustment-index,101.3,quality-adjusted-productivity-index-1997-base
2003,total-quality-adjustment-index,101.7,quality-adjusted-productivity-index-1997-base
2004,total-quality-adjustment-index,102.3,quality-adjusted-productivity-index-1997-base
2005,total-quality-adjustment-index,103.0,quality-adjusted-productivity-index-1997-base
2006,total-quality-adjustment-index,103.8,quality-adjusted-productivity-index-1997-base
2007,total-quality-adjustment-index,104.2,quality-adjusted-productivity-index-1997-base
2008,total-quality-adjustment-index,104.6,quality-adjusted-productivity-index-1997-base
2009,total-quality-adjustment-index,105.1,quality-adjusted-productivity-index-1997-base
2010,total-quality-adjustment-index,105.4,quality-adjusted-productivity-index-1997-base
2011,total-quality-adjustment-index,105.8,quality-adjusted-productivity-index-1997-base
2012,total-quality-adjustment-index,106.0,quality-adjusted-productivity-index-1997-base
2013,total-quality-adjustment-index,106.1,quality-adjusted-productivity-index-1997-base
2014,total-quality-adjustment-index,106.4,quality-adjusted-productivity-index-1997-base
2015,total-quality-adjustment-index,106.6,quality-adjusted-productivity-index-1997-base
2016,total-quality-adjustment-index,106.7,quality-adjusted-productivity-index-1997-base
2017,total-quality-adjustment-index,106.8,quality-adjusted-productivity-index-1997-base
2018,total-quality-adjustment-index,107.1,quality-adjusted-productivity-index-1997-base
2019,total-quality-adjustment-index,107.2,quality-adjusted-productivity-index-1997-base
2020,total-quality-adjustment-index,105.5,quality-adjusted-productivity-index-1997-base
1997,healthcare,100.0,quality-adjusted-output-index-1997-base
1998,healthcare,104.7,quality-adjusted-output-index-1997-base
1999,healthcare,108.4,quality-adjusted-output-index-1997-base
2000,healthcare,114.5,quality-adjusted-output-index-1997-base
2001,healthcare,121.2,quality-adjusted-output-index-1997-base
2002,healthcare,127.3,quality-adjusted-output-index-1997-base
2003,healthcare,136.1,quality-adjusted-output-index-1997-base
2004,healthcare,144.8,quality-adjusted-output-index-1997-base
2005,healthcare,155.0,quality-adjusted-output-index-1997-base
2006,healthcare,164.3,quality-adjusted-output-index-1997-base
2007,healthcare,171.5,quality-adjusted-output-index-1997-base
2008,healthcare,182.3,quality-adjusted-output-index-1997-base
2009,healthcare,191.5,quality-adjusted-output-index-1997-base
2010,healthcare,196.4,quality-adjusted-output-index-1997-base
2011,healthcare,203.0,quality-adjusted-output-index-1997-base
2012,healthcare,209.8,quality-adjusted-output-index-1997-base
2013,healthcare,217.6,quality-adjusted-output-index-1997-base
2014,healthcare,228.5,quality-adjusted-output-index-1997-base
2015,healthcare,237.2,quality-adjusted-output-index-1997-base
2016,healthcare,244.9,quality-adjusted-output-index-1997-base
2017,healthcare,251.7,quality-adjusted-output-index-1997-base
2018,healthcare,256.9,quality-adjusted-output-index-1997-base
2019,healthcare,262.2,quality-adjusted-output-index-1997-base
2020,healthcare,244.9,quality-adjusted-output-index-1997-base
1997,education,102.2,quality-adjusted-output-index-1997-base
1998,education,102.2,quality-adjusted-output-index-1997-base
1999,education,104.4,quality-adjusted-output-index-1997-base
2000,education,106.0,quality-adjusted-output-index-1997-base
2001,education,108.2,quality-adjusted-output-index-1997-base
2002,education,110.9,quality-adjusted-output-index-1997-base
2003,education,113.3,quality-adjusted-output-index-1997-base
2004,education,115.8,quality-adjusted-output-index-1997-base
2005,education,116.7,quality-adjusted-output-index-1997-base
2006,education,116.6,quality-adjusted-output-index-1997-base
2007,education,117.5,quality-adjusted-output-index-1997-base
2008,education,118.3,quality-adjusted-output-index-1997-base
2009,education,119.6,quality-adjusted-output-index-1997-base
2010,education,121.0,quality-adjusted-output-index-1997-base
2011,education,124.1,quality-adjusted-output-index-1997-base
2012,education,127.2,quality-adjusted-output-index-1997-base
2013,education,128.8,quality-adjusted-output-index-1997-base
2014,education,130.9,quality-adjusted-output-index-1997-base
2015,education,132.6,quality-adjusted-output-index-1997-base
2016,education,134.2,quality-adjusted-output-index-1997-base
2017,education,135.8,quality-adjusted-output-index-1997-base
2018,education,137.4,quality-adjusted-output-index-1997-base
2019,education,138.6,quality-adjusted-output-index-1997-base
2020,education,102.0,quality-adjusted-output-index-1997-base
1997,adult-social-care,103.3,quality-adjusted-output-index-1997-base
1998,adult-social-care,103.1,quality-adjusted-output-index-1997-base
1999,adult-social-care,103.3,quality-adjusted-output-index-1997-base
2000,adult-social-care,106.8,quality-adjusted-output-index-1997-base
2001,adult-social-care,109.1,quality-adjusted-output-index-1997-base
2002,adult-social-care,115.2,quality-adjusted-output-index-1997-base
2003,adult-social-care,126.7,quality-adjusted-output-index-1997-base
2004,adult-social-care,132.9,quality-adjusted-output-index-1997-base
2005,adult-social-care,134.7,quality-adjusted-output-index-1997-base
2006,adult-social-care,137.1,quality-adjusted-output-index-1997-base
2007,adult-social-care,135.8,quality-adjusted-output-index-1997-base
2008,adult-social-care,137.2,quality-adjusted-output-index-1997-base
2009,adult-social-care,137.0,quality-adjusted-output-index-1997-base
2010,adult-social-care,137.3,quality-adjusted-output-index-1997-base
2011,adult-social-care,136.1,quality-adjusted-output-index-1997-base
2012,adult-social-care,134.4,quality-adjusted-output-index-1997-base
2013,adult-social-care,134.6,quality-adjusted-output-index-1997-base
2014,adult-social-care,133.8,quality-adjusted-output-index-1997-base
2015,adult-social-care,135.7,quality-adjusted-output-index-1997-base
2016,adult-social-care,137.2,quality-adjusted-output-index-1997-base
2017,adult-social-care,137.4,quality-adjusted-output-index-1997-base
2018,adult-social-care,137.7,quality-adjusted-output-index-1997-base
2019,adult-social-care,141.5,quality-adjusted-output-index-1997-base
2020,adult-social-care,140.8,quality-adjusted-output-index-1997-base
1997,social-security-administration,92.9,quality-adjusted-output-index-1997-base
1998,social-security-administration,95.6,quality-adjusted-output-index-1997-base
1999,social-security-administration,94.5,quality-adjusted-output-index-1997-base
2000,social-security-administration,92.9,quality-adjusted-output-index-1997-base
2001,social-security-administration,91.1,quality-adjusted-output-index-1997-base
2002,social-security-administration,90.9,quality-adjusted-output-index-1997-base
2003,social-security-administration,93.7,quality-adjusted-output-index-1997-base
2004,social-security-administration,96.3,quality-adjusted-output-index-1997-base
2005,social-security-administration,92.6,quality-adjusted-output-index-1997-base
2006,social-security-administration,92.9,quality-adjusted-output-index-1997-base
2007,social-security-administration,91.9,quality-adjusted-output-index-1997-base
2008,social-security-administration,99.3,quality-adjusted-output-index-1997-base
2009,social-security-administration,104.5,quality-adjusted-output-index-1997-base
2010,social-security-administration,101.5,quality-adjusted-output-index-1997-base
2011,social-security-administration,99.3,quality-adjusted-output-index-1997-base
2012,social-security-administration,96.3,quality-adjusted-output-index-1997-base
2013,social-security-administration,91.1,quality-adjusted-output-index-1997-base
2014,social-security-administration,87.4,quality-adjusted-output-index-1997-base
2015,social-security-administration,84.8,quality-adjusted-output-index-1997-base
2016,social-security-administration,88.8,quality-adjusted-output-index-1997-base
2017,social-security-administration,89.1,quality-adjusted-output-index-1997-base
2018,social-security-administration,91.7,quality-adjusted-output-index-1997-base
2019,social-security-administration,89.3,quality-adjusted-output-index-1997-base
2020,social-security-administration,85.5,quality-adjusted-output-index-1997-base
1997,children-s-social-care,105.0,quality-adjusted-output-index-1997-base
1998,children-s-social-care,101.1,quality-adjusted-output-index-1997-base
1999,children-s-social-care,106.1,quality-adjusted-output-index-1997-base
2000,children-s-social-care,102.6,quality-adjusted-output-index-1997-base
2001,children-s-social-care,105.0,quality-adjusted-output-index-1997-base
2002,children-s-social-care,110.3,quality-adjusted-output-index-1997-base
2003,children-s-social-care,115.8,quality-adjusted-output-index-1997-base
2004,children-s-social-care,118.9,quality-adjusted-output-index-1997-base
2005,children-s-social-care,121.6,quality-adjusted-output-index-1997-base
2006,children-s-social-care,127.4,quality-adjusted-output-index-1997-base
2007,children-s-social-care,128.3,quality-adjusted-output-index-1997-base
2008,children-s-social-care,126.9,quality-adjusted-output-index-1997-base
2009,children-s-social-care,128.1,quality-adjusted-output-index-1997-base
2010,children-s-social-care,130.5,quality-adjusted-output-index-1997-base
2011,children-s-social-care,128.1,quality-adjusted-output-index-1997-base
2012,children-s-social-care,126.4,quality-adjusted-output-index-1997-base
2013,children-s-social-care,131.8,quality-adjusted-output-index-1997-base
2014,children-s-social-care,151.6,quality-adjusted-output-index-1997-base
2015,children-s-social-care,156.9,quality-adjusted-output-index-1997-base
2016,children-s-social-care,158.8,quality-adjusted-output-index-1997-base
2017,children-s-social-care,160.1,quality-adjusted-output-index-1997-base
2018,children-s-social-care,162.3,quality-adjusted-output-index-1997-base
2019,children-s-social-care,171.4,quality-adjusted-output-index-1997-base
2020,children-s-social-care,173.0,quality-adjusted-output-index-1997-base
1997,public-order-safety,104.6,quality-adjusted-output-index-1997-base
1998,public-order-safety,100.0,quality-adjusted-output-index-1997-base
1999,public-order-safety,99.1,quality-adjusted-output-index-1997-base
2000,public-order-safety,100.9,quality-adjusted-output-index-1997-base
2001,public-order-safety,106.4,quality-adjusted-output-index-1997-base
2002,public-order-safety,104.6,quality-adjusted-output-index-1997-base
2003,public-order-safety,110.6,quality-adjusted-output-index-1997-base
2004,public-order-safety,109.0,quality-adjusted-output-index-1997-base
2005,public-order-safety,114.6,quality-adjusted-output-index-1997-base
2006,public-order-safety,118.5,quality-adjusted-output-index-1997-base
2007,public-order-safety,113.6,quality-adjusted-output-index-1997-base
2008,public-order-safety,115.4,quality-adjusted-output-index-1997-base
2009,public-order-safety,121.1,quality-adjusted-output-index-1997-base
2010,public-order-safety,113.8,quality-adjusted-output-index-1997-base
2011,public-order-safety,109.4,quality-adjusted-output-index-1997-base
2012,public-order-safety,106.2,quality-adjusted-output-index-1997-base
2013,public-order-safety,100.5,quality-adjusted-output-index-1997-base
2014,public-order-safety,96.6,quality-adjusted-output-index-1997-base
2015,public-order-safety,92.8,quality-adjusted-output-index-1997-base
2016,public-order-safety,87.4,quality-adjusted-output-index-1997-base
2017,public-order-safety,85.1,quality-adjusted-output-index-1997-base
2018,public-order-safety,83.5,quality-adjusted-output-index-1997-base
2019,public-order-safety,81.5,quality-adjusted-output-index-1997-base
2020,public-order-safety,74.1,quality-adjusted-output-index-1997-base
1997,police,108.4,quality-adjusted-output-index-1997-base
1998,police,99.6,quality-adjusted-output-index-1997-base
1999,police,98.5,quality-adjusted-output-index-1997-base
2000,police,98.0,quality-adjusted-output-index-1997-base
2001,police,99.9,quality-adjusted-output-index-1997-base
2002,police,103.4,quality-adjusted-output-index-1997-base
2003,police,108.4,quality-adjusted-output-index-1997-base
2004,police,118.3,quality-adjusted-output-index-1997-base
2005,police,116.5,quality-adjusted-output-index-1997-base
2006,police,117.3,quality-adjusted-output-index-1997-base
2007,police,124.1,quality-adjusted-output-index-1997-base
2008,police,115.4,quality-adjusted-output-index-1997-base
2009,police,121.0,quality-adjusted-output-index-1997-base
2010,police,118.5,quality-adjusted-output-index-1997-base
2011,police,109.9,quality-adjusted-output-index-1997-base
2012,police,111.2,quality-adjusted-output-index-1997-base
2013,police,105.8,quality-adjusted-output-index-1997-base
2014,police,108.1,quality-adjusted-output-index-1997-base
2015,police,107.4,quality-adjusted-output-index-1997-base
2016,police,105.7,quality-adjusted-output-index-1997-base
2017,police,105.2,quality-adjusted-output-index-1997-base
2018,police,105.2,quality-adjusted-output-index-1997-base
2019,police,104.2,quality-adjusted-output-index-1997-base
2020,police,110.7,quality-adjusted-output-index-1997-base
1997,defence,122.8,quality-adjusted-output-index-1997-base
1998,defence,101.4,quality-adjusted-output-index-1997-base
1999,defence,102.3,quality-adjusted-output-index-1997-base
2000,defence,109.8,quality-adjusted-output-index-1997-base
2001,defence,108.7,quality-adjusted-output-index-1997-base
2002,defence,115.6,quality-adjusted-output-index-1997-base
2003,defence,124.8,quality-adjusted-output-index-1997-base
2004,defence,122.8,quality-adjusted-output-index-1997-base
2005,defence,124.7,quality-adjusted-output-index-1997-base
2006,defence,130.3,quality-adjusted-output-index-1997-base
2007,defence,130.7,quality-adjusted-output-index-1997-base
2008,defence,137.0,quality-adjusted-output-index-1997-base
2009,defence,138.5,quality-adjusted-output-index-1997-base
2010,defence,139.8,quality-adjusted-output-index-1997-base
2011,defence,143.4,quality-adjusted-output-index-1997-base
2012,defence,142.5,quality-adjusted-output-index-1997-base
2013,defence,136.9,quality-adjusted-output-index-1997-base
2014,defence,138.3,quality-adjusted-output-index-1997-base
2015,defence,141.2,quality-adjusted-output-index-1997-base
2016,defence,139.0,quality-adjusted-output-index-1997-base
2017,defence,138.7,quality-adjusted-output-index-1997-base
2018,defence,137.6,quality-adjusted-output-index-1997-base
2019,defence,146.1,quality-adjusted-output-index-1997-base
2020,defence,144.8,quality-adjusted-output-index-1997-base
1997,other,152.9,quality-adjusted-output-index-1997-base
1998,other,104.3,quality-adjusted-output-index-1997-base
1999,other,110.1,quality-adjusted-output-index-1997-base
2000,other,114.3,quality-adjusted-output-index-1997-base
2001,other,124.3,quality-adjusted-output-index-1997-base
